"
maellke NOM-SG-IE-SUFFIX mielk

maanaajd ACC-PL-IB-SUFFIX maan

baotsoj NOM-SG-IE-SUFFIX buhts
buhtsoj NOM-PL-IE-SUFFIX buhts
buhtsuv ACC-SG-IE-SUFFIX buhts
buhtsu GEN-SG-IE-SUFFIX buhts
buhtsun INESS-SG-IE-SUFFIX buhts

bijjla NOM-SG-IB-SUFFIX bijl
bijla GEN-SG-IB-SUFFIX bijl
bijlav ACC-SG-IB-SUFFIX bijl
bijlan INESS-SG-IB-SUFFIX bijl
bijla NOM-PL-IB-SUFFIX bijl


bena NOM-SG-IB-SUFFIX bednag
bednaga GEN-SG-IB-SUFFIX bednag
bednagav ACC-SG-IB-SUFFIX bednag
bednagin INESS-SG-IB-SUFFIX bednag
bednaga NOM-PL-IB-SUFFIX bednag

gaahtto NOM-SG-IB-SUFFIX gaaht
gaahto GEN-SG-IB-SUFFIX gaaht
gaahtov ACC-SG-IB-SUFFIX gaaht
gaahton INESS-SG-IB-SUFFIX gaaht
gaahto NOM-PL-IB-SUFFIX gaaht
gaahtojd ACC-PL-IB-SUFFIX gaaht

maehttse NOM-SG-IE-SUFFIX miehts

tjaabbe ADJ_PL-SUFFIX tjaabb
tjaabbe ADJ_SG-SUFFIX tjaabb

buojde ADJ_PL-SUFFIX buojd

aovros ADJ_SG-SUFFIX aovros
vuoras ADJ_SG-SUFFIX vuoras
buojde ADJ_SG-SUFFIX buojde

saadnes ADJ_SG-SUFFIX saadnes
saadna ADJ_PL-SUFFIX saadnes

baoroav 1SG-PRS-V-SUFFIX baor 
baorao 2SG-PRS-V-SUFFIX baor
baorra 3SG-PRS-V-SUFFIX baor
burrin 1DU-PRS-V-SUFFIX baor
baorraobehtin 2DU-PRS-V-SUFFIX baor
baorraoba 3DU-PRS-V-SUFFIX baor
baorraop 1PL-PRS-V-SUFFIX baor
baorraobehtit 2PL-PRS-V-SUFFIX baor
burri 3PL-PRS-V-SUFFIX baor
baorraot INFINITIVE-V-SUFFIX baor
burriv 1SG-PST-V-SUFFIX baor
burri 2SG-PST-V-SUFFIX baor
baoraoj 3SG-PST-V-SUFFIX baor
baoraojme 1PL-PST-V-SUFFIX baor
baoraojde 2PL-PST-V-SUFFIX baor
burrin 3PL-PST-V-SUFFIX baor

haoskaoli 2SG-PST-IIB-SUFFIX haoskaol
haoskaolij 3SG-PST-IIB-SUFFIX haoskaol
haoskaolijmae 1PL-PST-IIB-SUFFIX haoskaol
haoskaolijdae 2PL-PST-IIB-SUFFIX haoskaol

baoraov 1SG-PRS-IIb-SUFFIX baor 
baorao 2SG-PRS-IIb-SUFFIX baor
baorra 3SG-PRS-IIb-SUFFIX baor
burrin 1DU-PRS-IIb-SUFFIX baor
baorraobehtin 2DU-PRS-IIb-SUFFIX baor
baorraoba 3DU-PRS-IIb-SUFFIX baor
baorraop 1PL-PRS-IIb-SUFFIX baor
baorraobehtit 2PL-PRS-IIb-SUFFIX baor
burri 3PL-PRS-IIb-SUFFIX baor
baorraot INFINITIVE-IIb-SUFFIX baor
burriv 1SG-PST-IIB-SUFFIX baor
burri 2SG-PST-IIB-SUFFIX baor
baoraoj 3SG-PST-IIB-SUFFIX baor
baoraojme 1PL-PST-IIB-SUFFIX baor
baoraojde 2PL-PST-IIB-SUFFIX baor
burrin 3PL-PST-IIB-SUFFIX baor

aorret INFINITIVE-V-SUFFIX aor
aoraav 1SG-PRS-V-SUFFIX aor
aoraa 2SG-PRS-V-SUFFIX aor
aorraa 3SG-PRS-V-SUFFIX aor
urrin 1DU-PRS-V-SUFFIX aor
aorrebehtin 2DU-PRS-V-SUFFIX aor
aorreba 3DU-PRS-V-SUFFIX aor
aorrep 1PL-PRS-V-SUFFIX aor
aorrebehtit 2PL-PRS-V-SUFFIX aor
urri 3PL-PRS-V-SUFFIX aor

baohtet INFINITIVE-V-SUFFIX baoht

en 1du-pres-neg-suffix i
ehpen 2du-pres-neg-suffix i
eba 3du-pres-neg-suffix i
ep 1pl-pres-neg-suffix i
ehpet 2pl-pres-neg-suffix i
eh 3pl-pres-neg-suffix i

naellgot INFINITIVE-V-SUFFIX naelg
nielgov 1SG-PRS-V-SUFFIX naelg
nielgo 2SG-PRS-V-SUFFIX naelg
naellgu 3SG-PRS-V-SUFFIX naelg
naellgun 1DU-PRS-V-SUFFIX naelg
naellgobehtin 2DU-PRS-V-SUFFIX naelg
naellgoba 3DU-PRS-V-SUFFIX naelg 
naellgop 1PL-PRS-V-SUFFIX naelg
naellgobehtit 2PL-PRS-V-SUFFIX naelg
naellgu 3PL-PRS-V-SUFFIX naelg



"
	
